"Input_X","Input_Y","Reference_X","Reference_Y","Reference_radius","clique_size","rotation_angle","reference_overlap","input_overlap","med_dist_euc","Comp","Euc_input_dist","Euc_ref_dist"
89.7,578.2,71,567.5,52.2804934942278,15,1.23356164921344,0.552287581699346,0.857868020304569,0.48548,"1-2",282.450296512501,281.873198442136
67.8,296.6,85.5,286,56.3227307576612,18,1.87688293948236,0.418831168831169,1,0.086,"1-3",112.382916851272,132.998120287469
177.3,507.8,182.5,495,54.150253923689,17,2.68437578781671,0.653875671527245,0.956228956228956,0.31427,"2-3",237.89848675433,230.412673262562
