pane,fragment,Rep,mfr,element,ppm
AA,2,5,A,Mg,23000
AA,2,5,A,Mn,17.78
AA,2,5,A,Na,101630
AA,2,5,A,Nd,3.34
AA,2,5,A,Pb,1.098
AA,2,5,A,Rb,2.09
AA,2,5,A,Sr,31.31
AA,2,5,A,Ti,173.6
AA,2,5,A,Zr,45.73
AA,3,1,A,Al,2914
AA,3,1,A,Ba,11.37
AA,3,1,A,Ca,65100
AA,3,1,A,Ce,9.58
AA,3,1,A,Fe,695
AA,3,1,A,Hf,1.3
AA,3,1,A,K,1255
AA,3,1,A,La,4.38
AA,3,1,A,Li,2.45
AA,3,1,A,Mg,23500
AA,3,1,A,Mn,18.9
AA,3,1,A,Na,102000
AA,3,1,A,Nd,3.73
AA,3,1,A,Pb,1.121
AA,3,1,A,Rb,1.86
AA,3,1,A,Sr,32.13
AA,3,1,A,Ti,173.6
AA,3,1,A,Zr,46.77
AA,3,2,A,Al,2815
AA,3,2,A,Ba,10.56
AA,3,2,A,Ca,64450
AA,3,2,A,Ce,9.52
AA,3,2,A,Fe,683
AA,3,2,A,Hf,1.209
AA,3,2,A,K,1249.2
AA,3,2,A,La,4.26
AA,3,2,A,Li,2.04
AA,3,2,A,Mg,23280
AA,3,2,A,Mn,18.43
AA,3,2,A,Na,101150
AA,3,2,A,Nd,3.76
AA,3,2,A,Pb,1.127
AA,3,2,A,Rb,2.09
AA,3,2,A,Sr,31.96
AA,3,2,A,Ti,179.6
AA,3,2,A,Zr,46.8
AA,3,3,A,Al,2842
AA,3,3,A,Ba,10.97
AA,3,3,A,Ca,64380
AA,3,3,A,Ce,9.59
AA,3,3,A,Fe,665
AA,3,3,A,Hf,1.273
AA,3,3,A,K,1253
AA,3,3,A,La,4.44
AA,3,3,A,Li,2.14
AA,3,3,A,Mg,23280
AA,3,3,A,Mn,18.4
AA,3,3,A,Na,102220
AA,3,3,A,Nd,3.49
AA,3,3,A,Pb,1.062
AA,3,3,A,Rb,2.05
AA,3,3,A,Sr,32.07
AA,3,3,A,Ti,177.1
AA,3,3,A,Zr,48.2
AA,3,4,A,Al,2942
AA,3,4,A,Ba,11.76
AA,3,4,A,Ca,65680
AA,3,4,A,Ce,9.65
AA,3,4,A,Fe,675
AA,3,4,A,Hf,1.282
AA,3,4,A,K,1275
AA,3,4,A,La,4.34
AA,3,4,A,Li,1.87
AA,3,4,A,Mg,23370
AA,3,4,A,Mn,18.48
AA,3,4,A,Na,102390
AA,3,4,A,Nd,3.9
AA,3,4,A,Pb,1.141
AA,3,4,A,Rb,2.15
AA,3,4,A,Sr,32.77
AA,3,4,A,Ti,178.6
AA,3,4,A,Zr,51.43
AA,3,5,A,Al,2882
AA,3,5,A,Ba,11.4
AA,3,5,A,Ca,65520
AA,3,5,A,Ce,9.52
AA,3,5,A,Fe,672
AA,3,5,A,Hf,1.284
AA,3,5,A,K,1273
AA,3,5,A,La,4.41
AA,3,5,A,Li,2.33
AA,3,5,A,Mg,23290
AA,3,5,A,Mn,18.85
AA,3,5,A,Na,102000
AA,3,5,A,Nd,3.65
AA,3,5,A,Pb,1.18
AA,3,5,A,Rb,2.35
AA,3,5,A,Sr,32.45
AA,3,5,A,Ti,174.9
AA,3,5,A,Zr,48.58
AA,4,1,A,Al,2980
AA,4,1,A,Ba,11.71
AA,4,1,A,Ca,65640
AA,4,1,A,Ce,9.69
AA,4,1,A,Fe,679
AA,4,1,A,Hf,1.43
AA,4,1,A,K,1269
AA,4,1,A,La,4.42
AA,4,1,A,Li,2.15
AA,4,1,A,Mg,23580
AA,4,1,A,Mn,18.71
