"","x","y"
"569",227,426
"570",227,423
"571",227,420
"572",227,418
"573",227,415
"574",227,391
"575",227,362
"576",227,347
"577",227,315
"578",227,301
"579",227,288
"580",227,259
"581",227,258
"582",227,188
"583",227,187
"584",227,186
"586",226,598
"587",226,568
"588",226,565
"589",226,550
"590",226,539
"591",226,504
"592",226,468
"593",226,464
"594",226,463
"595",226,459
"596",226,458
"597",226,454
"598",226,453
"599",226,448
"600",226,444
"601",226,441
"602",226,437
"603",226,435
"604",226,432
"605",226,429
"606",226,426
"607",226,424
"608",226,421
"609",226,419
"610",226,416
"611",226,390
"612",226,389
"613",226,361
"614",226,347
"615",226,315
"616",226,302
"617",226,287
"618",226,259
"619",226,188
"620",226,186
"622",225,598
"623",225,567
"624",225,565
"625",225,550
"626",225,539
"627",225,504
"628",225,467
"629",225,466
"630",225,462
"631",225,457
"632",225,456
"633",225,452
"634",225,447
"635",225,444
"636",225,441
"637",225,438
"638",225,435
"639",225,432
"640",225,430
"641",225,427
"642",225,424
"643",225,421
"644",225,419
"645",225,416
"646",225,388
"647",225,387
"648",225,361
"649",225,347
"650",225,315
"651",225,301
"652",225,286
"653",225,285
"654",225,259
"655",225,188
"656",225,186
"658",224,597
"659",224,567
"660",224,564
"661",224,550
"662",224,540
"663",224,504
"664",224,471
"665",224,465
"666",224,464
"667",224,461
"668",224,460
"669",224,455
"670",224,451
"671",224,447
"672",224,444
"673",224,441
"674",224,439
"675",224,436
"676",224,433
"677",224,430
"678",224,427
"679",224,425
"680",224,422
"681",224,419
"682",224,417
"683",224,386
"684",224,362
"685",224,361
"686",224,346
"687",224,315
"688",224,301
"689",224,284
"690",224,258
"691",224,257
"692",224,189
"693",224,186
"695",223,597
"696",223,567
"697",223,564
"698",223,550
"699",223,540
"700",223,504
"701",223,469
"702",223,468
"703",223,463
"704",223,459
"705",223,454
"706",223,451
"707",223,448
"708",223,445
"709",223,442
"710",223,439
"711",223,436
"712",223,433
"713",223,431
"714",223,428
"715",223,425
"716",223,422
"717",223,420
"718",223,417
"719",223,385
"720",223,384
"721",223,361
"722",223,346
"723",223,314
"724",223,301
"725",223,283
"726",223,256
"727",223,190
"728",223,186
"730",222,612
"731",222,611
"732",222,610
"733",222,609
"734",222,596
"735",222,566
"736",222,564
"737",222,550
"738",222,540
"739",222,504
"740",222,471
"741",222,470
"742",222,467
"743",222,462
"744",222,461
"745",222,458
"746",222,454
"747",222,451
"748",222,448
"749",222,445
"750",222,442
"751",222,440
"752",222,437
"753",222,434
"754",222,431
"755",222,428
"756",222,426
"757",222,423
"758",222,420
"759",222,418
"760",222,383
"761",222,363
"762",222,362
"763",222,346
"764",222,314
"765",222,301
"766",222,282
"767",222,255
"768",222,194
"769",222,193
"770",222,192
"771",222,191
"772",222,187
"774",221,614
"775",221,613
"776",221,608
"777",221,595
"778",221,594
"779",221,566
"780",221,563
"781",221,551
"782",221,540
"783",221,504
"784",221,470
"785",221,469
"786",221,466
"787",221,465
"788",221,461
"789",221,458
"790",221,454
"791",221,452
"792",221,449
"793",221,446
"794",221,443
"795",221,440
"796",221,437
"797",221,435
"798",221,432
"799",221,429
"800",221,426
"801",221,423
"802",221,421
"803",221,418
"804",221,382
"805",221,361
"806",221,360
"807",221,345
"808",221,313
"809",221,301
"810",221,281
"811",221,254
"812",221,200
"813",221,199
"814",221,198
"815",221,197
"816",221,196
"817",221,195
"818",221,189
"819",221,188
"821",220,617
"822",220,616
"823",220,615
"824",220,608
"825",220,593
"826",220,566
"827",220,563
"828",220,551
"829",220,540
"830",220,504
"831",220,468
"832",220,464
"833",220,461
"834",220,458
"835",220,455
"836",220,452
"837",220,449
"838",220,446
"839",220,443
"840",220,441
"841",220,438
"842",220,435
"843",220,432
"844",220,430
"845",220,427
"846",220,424
"847",220,421
"848",220,419
"849",220,415
"850",220,381
"851",220,380
"852",220,360
"853",220,345
"854",220,313
"855",220,301
"856",220,280
"857",220,253
"858",220,252
"859",220,204
"860",220,203
"861",220,202
"862",220,201
"863",220,193
"864",220,192
"865",220,191
"866",220,190
"868",219,619
"869",219,618
"870",219,607
"871",219,592
"872",219,565
"873",219,562
"874",219,551
"875",219,541
"876",219,504
"877",219,467
"878",219,464
"879",219,461
"880",219,458
"881",219,455
"882",219,452
"883",219,450
"884",219,447
"885",219,444
"886",219,441
"887",219,438
"888",219,436
"889",219,433
"890",219,430
"891",219,427
"892",219,425
"893",219,422
"894",219,419
"895",219,417
"896",219,415
"897",219,379
"898",219,359
"899",219,345
"900",219,313
"901",219,300
"902",219,279
"903",219,252
"904",219,209
"905",219,208
"906",219,207
"907",219,206
"908",219,205
"909",219,196
"910",219,195
"911",219,194
"913",218,621
"914",218,620
"915",218,607
"916",218,591
