"Input_X","Input_Y","Reference_X","Reference_Y","Reference_radius","clique_size","rotation_angle","reference_overlap","input_overlap","med_dist_euc","Comp","Euc_input_dist","Euc_ref_dist"
89.7,578.2,66,582.5,51.198144497628,18,1.8695188028476,0.639853747714808,0.888324873096447,0.52979,"1-2",282.450296512501,280.5
67.8,296.6,66,302,55.6057550978314,14,7.16227369864569,0.387622149837134,0.922480620155039,0.51766,"1-3",112.382916851272,201.926966995496
177.3,507.8,199.5,431,51.4417145903983,16,32.9317012917273,0.255524079320113,0.506172839506173,0.57858,"2-3",237.89848675433,185.642802176653
